Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2022,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),4.15,4.39,4.63,2.55,1.72,1.64,0.46,-1.12,-1.21,-0.96,-6.16,0
2022,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,13.28,14.99,18.58,22.52,26.64,28.62,30.46,32.76,36.2,39.66,49.69,53.24
2022,Monetary Policy Rate (%),14.5,14.5,17,17,19,19,19,22,22,24.5,27,27
2021,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),13.9,12.36,26.76,39.42,33.14,20.21,20,15.01,11.15,4.95,10.23,4.97
2021,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,10.08,10.44,10.87,8.63,7.34,7.54,8.85,9.47,9.98,10.35,11.41,11.84
2021,Monetary Policy Rate (%),14.5,14.5,14.5,14.5,13.5,13.5,13.5,13.5,13.5,13.5,14.5,14.5
2020,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),3.36,7.15,-1.87,-10.47,-10.23,4.13,3.93,6.54,10.75,10.89,11.88,8.33
2020,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,7.76,7.77,7.81,11.06,11.96,11.89,12.06,11.09,10.95,10.73,10.21,10.94
2020,Monetary Policy Rate (%),16,16,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
2019,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),3.27,2.8,2.35,1.46,2.48,1,2.11,3.4,4.21,7.92,3.38,13.95
2019,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,5.53,5.73,6.16,6.12,6.74,7.23,7.08,7.35,7.3,7.49,8.03,7.77
2019,Monetary Policy Rate (%),16,16,16,16,16,16,16,16,16,16,16,16
2018,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),3.11,5.68,4.34,3.65,3.55,4.2,3.99,-1.21,2.83,3.47,2.06,0.55
2018,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,11.1,11.3,11.1,10.4,10.7,10.97,10.56,10.8,10.8,10.5,10.3,10.4
2018,Monetary Policy Rate (%),20,20,18,18,18,17,17,17,17,17,17,17
2017,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),7.08,0.8,5.71,9.38,3.96,3.06,4.62,6.22,4.28,8.32,10.75,7.32
2017,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,14.5,14,13.4,13.7,13.3,12.8,12.64,13.13,12.8,12.3,12.5,12.6
2017,Monetary Policy Rate (%),25.5,25.5,23.5,23.5,22.5,22.5,21,21,21,21,20,20
2016,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),5.58,12.39,4.24,-1.23,7.47,6.28,8.36,6.14,3.98,-4.52,-0.93,2.98
2016,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,17.6,17.2,18.11,17.72,17.87,17.9,17.83,16.6,16.9,15.2,14.7,14.6
2016,Monetary Policy Rate (%),26,26,26,26,26,26,26,26,26,26,25.5,25.5
2015,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),1.33,0.86,2.1,7.64,-1.35,1.24,-3.08,3.77,3.35,8.09,5.89,4.86
2015,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,14.69,14.75,15.58,16,16.16,16.03,16.67,17.05,17.9,18.1,18.3,18.6
2015,Monetary Policy Rate (%),21,21,21,21,22,22,22,24,25,25,26,26
2014,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),3.66,10.61,9.94,2.39,8.24,9.08,11.14,3.06,2.8,0.4,4.32,7.37
2014,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,10.67,11.24,11.1,11,11.12,10.92,10.09,10.85,10.55,13.26,13.42,13.78
2014,Monetary Policy Rate (%),16,18,18,18,18,18,19,19,19,19,21,21
2013,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),9.16,-4.26,-1.49,7.92,4.04,1.39,2.14,6.21,7.67,4.67,1.47,2.97
2013,Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,9.68,9.75,10.21,10.36,10.68,11.43,11.49,11.32,12.25,11.49,11.44,11.21
2013,Monetary Policy Rate (%),15,15,15,15,16,16,16,16,16,16,16,16
2012,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),59.05,73.36,55.13,49.25,61.4,50.45,53.32,47.73,41.21,53.73,53.52,46.75
2012,Monetary Policy Rate (%),12.5,13.5,13.5,14.5,14.5,15,15,15,15,15,15,15
2011,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),15.3,15.13,25,22.65,18.04,20.35,22.65,18.83,22.34,17.94,17.11,14.62
2011,Monetary Policy Rate (%),13.5,13.5,13.5,13.5,13,13,12.5,12.5,12.5,12.5,12.5,12.5
2010,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),6.86,7.04,7.42,8.68,10.82,14.86,7.24,19.93,17.91,12.4,17.7,10.54
2010,Monetary Policy Rate (%),18,16,16,15,15,15,13.5,13.5,13.5,13.5,13.5,13.5
2009,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),10.18,3.17,7.34,4.56,1.54,2.53,-2.14,-0.98,3.63,2.92,-0.68,14.79
