Date,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),Core Inflation (Adjusted for Energy & Utility) (%) Year-on-Year,Monetary Policy Rate (%),Headline Inflation (%) Year-on-Year
12/1/2022,0.00,53.24,27.00,54.10
11/1/2022,-6.16,49.69,27.00,50.30
10/1/2022,-0.96,39.66,24.50,40.40
9/1/2022,-1.21,36.20,22.00,37.20
8/1/2022,-1.12,32.76,22.00,33.90
7/1/2022,0.46,30.46,19.00,31.70
6/1/2022,1.64,28.62,19.00,29.80
5/1/2022,1.72,26.64,19.00,27.60
4/1/2022,2.55,22.52,17.00,23.40
3/1/2022,4.63,18.58,17.00,19.40
2/1/2022,4.39,14.99,14.50,15.70
1/1/2022,4.15,13.28,14.50,13.90
12/1/2021,4.97,11.84,14.50,12.60
11/1/2021,10.23,11.41,14.50,12.20
10/1/2021,4.95,10.35,13.50,11.00
9/1/2021,11.15,9.98,13.50,10.60
8/1/2021,15.01,9.47,13.50,9.70
7/1/2021,20.00,8.85,13.50,9.00
6/1/2021,20.21,7.54,13.50,7.80
5/1/2021,33.14,7.34,13.50,7.50
4/1/2021,39.42,8.63,14.50,8.50
3/1/2021,26.76,10.87,14.50,10.30
2/1/2021,12.36,10.44,14.50,10.30
1/1/2021,13.90,10.08,14.50,9.90
12/1/2020,8.33,10.94,14.50,10.40
11/1/2020,11.88,10.21,14.50,9.80
10/1/2020,10.89,10.73,14.50,10.10
9/1/2020,10.75,10.95,14.50,10.40
8/1/2020,6.54,11.09,14.50,10.50
7/1/2020,3.93,12.06,14.50,11.40
6/1/2020,4.13,11.89,14.50,11.20
5/1/2020,-10.23,11.96,14.50,11.30
4/1/2020,-10.47,11.06,14.50,10.60
3/1/2020,-1.87,7.81,14.50,7.80
2/1/2020,7.15,7.77,16.00,7.80
1/1/2020,3.36,7.76,16.00,7.80
12/1/2019,13.95,7.77,16.00,7.90
11/1/2019,3.38,8.03,16.00,8.20
10/1/2019,7.92,7.49,16.00,7.70
9/1/2019,4.21,7.30,16.00,7.60
8/1/2019,3.40,7.35,16.00,7.80
7/1/2019,2.11,7.08,16.00,9.44
6/1/2019,1.00,7.23,16.00,9.12
5/1/2019,2.48,6.74,16.00,9.41
4/1/2019,1.46,6.12,16.00,9.47
3/1/2019,2.35,6.16,16.00,9.28
2/1/2019,2.80,5.73,16.00,9.17
1/1/2019,3.27,5.53,16.00,9.01
12/1/2018,0.55,10.40,17.00,9.43
11/1/2018,2.06,10.30,17.00,9.34
10/1/2018,3.47,10.50,17.00,9.52
9/1/2018,2.83,10.80,17.00,9.79
8/1/2018,-1.21,10.80,17.00,9.86
7/1/2018,3.99,10.56,17.00,9.63
6/1/2018,4.20,10.97,17.00,9.97
5/1/2018,3.55,10.70,18.00,9.81
4/1/2018,3.65,10.40,18.00,9.55
3/1/2018,4.34,11.10,18.00,10.36
2/1/2018,5.68,11.30,20.00,10.58
1/1/2018,3.11,11.10,20.00,10.35
12/1/2017,7.32,12.60,20.00,11.80
11/1/2017,10.75,12.50,20.00,11.70
10/1/2017,8.32,12.30,21.00,11.60
9/1/2017,4.28,12.80,21.00,12.20
8/1/2017,6.22,13.13,21.00,12.30
7/1/2017,4.62,12.64,21.00,11.90
6/1/2017,3.06,12.80,22.50,12.10
5/1/2017,3.96,13.30,22.50,12.60
4/1/2017,9.38,13.70,23.50,13.00
3/1/2017,5.71,13.40,23.50,12.80
2/1/2017,0.80,14.00,25.50,13.20
1/1/2017,7.08,14.50,25.50,13.30
12/1/2016,2.98,14.60,25.50,15.40
11/1/2016,-0.93,14.70,25.50,15.50
10/1/2016,-4.52,15.20,26.00,15.80
9/1/2016,3.98,16.90,26.00,17.20
8/1/2016,6.14,16.60,26.00,16.90
7/1/2016,8.36,17.83,26.00,16.70
6/1/2016,6.28,17.90,26.00,18.40
5/1/2016,7.47,17.87,26.00,18.90
4/1/2016,-1.23,17.72,26.00,18.70
3/1/2016,4.24,18.11,26.00,19.20
2/1/2016,12.39,17.20,26.00,18.50
1/1/2016,5.58,17.60,26.00,19.00
12/1/2015,4.86,18.60,26.00,17.70
11/1/2015,5.89,18.30,26.00,17.58
10/1/2015,8.09,18.10,25.00,17.38
9/1/2015,3.35,17.90,25.00,17.36
8/1/2015,3.77,17.05,24.00,17.30
7/1/2015,-3.08,16.67,22.00,17.94
6/1/2015,1.24,16.03,22.00,17.08
5/1/2015,-1.35,16.16,22.00,16.91
4/1/2015,7.64,16.00,21.00,16.76
3/1/2015,2.10,15.58,21.00,16.64
2/1/2015,0.86,14.75,21.00,16.50
1/1/2015,1.33,14.69,21.00,16.44
12/1/2014,7.37,13.78,21.00,16.99
11/1/2014,4.32,13.42,21.00,17.05
10/1/2014,0.40,13.26,19.00,16.90
9/1/2014,2.80,10.55,19.00,16.47
8/1/2014,3.06,10.85,19.00,15.90
7/1/2014,11.14,10.09,19.00,15.32
6/1/2014,9.08,10.92,18.00,14.99
5/1/2014,8.24,11.12,18.00,14.84
4/1/2014,2.39,11.00,18.00,14.69
3/1/2014,9.94,11.10,18.00,14.52
2/1/2014,10.61,11.24,18.00,14.03
1/1/2014,3.66,10.67,16.00,13.80
12/1/2013,2.97,11.21,16.00,13.50
11/1/2013,1.47,11.44,16.00,13.22
10/1/2013,4.67,11.49,16.00,13.09
9/1/2013,7.67,12.25,16.00,11.95
8/1/2013,6.21,11.32,16.00,11.45
7/1/2013,2.14,11.49,16.00,11.79
6/1/2013,1.39,11.43,16.00,11.63
5/1/2013,4.04,10.68,16.00,11.02
4/1/2013,7.92,10.36,15.00,10.87
3/1/2013,-1.49,10.21,15.00,10.78
2/1/2013,-4.26,9.75,15.00,10.40
